,market_place,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,Sentiment_books,review_month,review_day,review_year
0,"""US""","""25933450""","""RJOVP071AVAJO""","""0439873800""","""84656342""","""There Was an Old Lady Who Swallowed a Shell!""","""Books""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""I love it and so does my students!""",2015-08-31,positive,August,Monday,2015
1,"""US""","""1801372""","""R1ORGBETCDW3AI""","""1623953553""","""729938122""","""I Saw a Friend""","""Books""",1,0,0,0 	(N),1 	(Y),"""Please buy ""I Saw a Friend""! Your children will be delighted!""","""My wife and I ordered 2 books and gave them as presents...one to a friend's daughter and the other to our grandson! Both children were so happy with the story, by author Katrina Streza, and they were overjoyed with the absolutely adorable artwork, by artist Michele Katz, throughout the book! We highly recommend &#34;I Saw a Friend&#34; to all your little ones!!!""",2015-08-31,positive,August,Monday,2015
2,"""US""","""5782091""","""R7TNRFQAOUTX5""","""142151981X""","""678139048""","""Black Lagoon, Vol. 6""","""Books""",1,0,0,0 	(N),1 	(Y),"""Shipped fast.""","""Great book just like all the others in the series.""",2015-08-31,positive,August,Monday,2015
3,"""US""","""32715830""","""R2GANXKDIFZ6OI""","""014241543X""","""712432151""","""If I Stay""","""Books""",1,0,0,0 	(N),0 	(N),"""Five Stars""","""So beautiful""",2015-08-31,positive,August,Monday,2015
4,"""US""","""14005703""","""R2NYB6C3R8LVN6""","""1604600527""","""800572372""","""Stars 'N Strips Forever""","""Books""",1,2,2,0 	(N),1 	(Y),"""Five Stars""","""Enjoyed the author's story and his quilts are incredible. I have plans to make three.""",2015-08-31,positive,August,Monday,2015
5,"""US""","""36205738""","""R13U5PBJI1H94K""","""0399170863""","""559876774""","""The Liar""","""Books""",0,1,1,0 	(N),0 	(N),"""PREDICTABLE ALMOST FROM PAGE 1""","""Two or three pages into the book I suspected how it would end. And after another 10 or 20 pages, I was sure. And I was right. So much for suspense. The best I could say about this book is that it is okay. Just barely. It's a long book -- unnecessarily long -- and when the author hasn't taken the trouble to craft her plot in a suspenseful way, there's not a lot there to make you want to turn the page. I have mixed feelings about her main character, who was supposed to have been a vibrant, energetic, assertive woman, yet became weak and submissive to her manipulative husband. It's hard for any reader to identiify with that. Additionally, the romance in the book isn't all that interesting -- just two people who are attracted to each other. No real getting-to-know-you development, no build-up of heat, no surprise, really. This 500-page book is really 250 pages too long and it all feels stretched out, with long sequences of unnecessary dialogue, superfluous scenes to establish things that already have been established, and so on. Can't help wondering what's going on with Nora Roberts these days. She's written a number of really good books, but her recent books seem like &#34;Nora Roberts diluted&#34;. So-so, at best. Maybe with so many books behind her, she's just burning out. As far as this one goes, I'm glad I got it from the library. If I had paid for it, I'd have been steamed. Maybe if she wrote fewer books each year -- but better ones -- I'd be a happier reader.""",2015-08-31,negaitve,August,Monday,2015
6,"""US""","""44121167""","""R1H8UVH990F8VE""","""1517007240""","""299984591""","""Devil in the Details (Book 2: The Monastery Murders) (Volume 2)""","""Books""",1,2,2,0 	(N),0 	(N),"""The Monastery Murders - Book 2: Devil in the Details""","""&#34;Secrets in the Shallows,&#34; Book 1 of &#34;The Monastery Murders&#34; series grabbed me and drew me in! Book 2, &#34;Devil in the Detals&#34; tightened its hold on me and now I'm addicted! Did Mother Superior really murder the two Catholic school boys? If she didn't, then who did, and will the actual murderer be found out and caught? Did the murder of the beautiful, golden tressed nun and a boy's apparent suicide ten years earlier tie in with the more recent murders? What is the spirit in the Monastery trying to say? Some answers are revealed in this book, but the mystery broadens, and many more questions arise. I enjoyed this gripping book immensely and you will too! Now I must read Book 3 so I can get the whole story!""",2015-08-31,positive,August,Monday,2015
7,"""US""","""16519255""","""R2MC0N30WZMRQ5""","""0671728725""","""821650353""","""Knowing When to Stop: A Memoir""","""Books""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""I love it!""",2015-08-31,positive,August,Monday,2015
8,"""US""","""49361350""","""R2NO2HXK16Y4J""","""1111349533""","""419457767""","""The American Pageant""","""Books""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""It was a great purchase.""",2015-08-31,positive,August,Monday,2015
9,"""US""","""11423253""","""R245YIAVJK82ZL""","""812211637X""","""285887177""","""Punjabi C.L. Bible / Common Language Version""","""Books""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""Quality product fast shipping.""",2015-08-31,positive,August,Monday,2015
10,"""US""","""37536260""","""RFBMLBWQOZ1UM""","""0679413359""","""58983679""","""The Aeneid (Everyman's Library)""","""Books""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""Very happy""",2015-08-31,positive,August,Monday,2015
11,"""US""","""23614950""","""RHE1FEWV3KTQH""","""0983990662""","""222024699""","""The YMCA of Middle Tennessee: Three Centuries of Service""","""Books""",1,0,0,0 	(N),1 	(Y),"""Great history book by renown author.""","""Love reading all books by this author. Very in-depth. His love of history is evident. Always accurate.<br /><br />Reputable shipper.""",2015-08-31,positive,August,Monday,2015
12,"""US""","""12641855""","""R2BB9U7PHO7ETO""","""156852062X""","""388128348""","""Memoirs By Harry S. Truman: 1945 Year of Decisions""","""Books""",1,0,1,0 	(N),1 	(Y),"""Five Stars""","""such a great purchase""",2015-08-31,positive,August,Monday,2015
13,"""US""","""36327169""","""R28XJJP754GYXO""","""B0007E4WJ4""","""842975364""","""Arms of our fighting men""","""Books""",1,0,0,0 	(N),1 	(Y),"""Four Stars""","""book was fine Thank you""",2015-08-31,positive,August,Monday,2015
