,market_place,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,Sentiment_ebook
0,"""US""","""33605939""","""RGYFDX8QXKEIR""","""B007KO2MLO""","""328837464""","""Big Maria""","""Digital_Ebook_Purchase""",1,0,0,0 	(N),0 	(N),"""Quirky""","""Elmore Leonard meets the cast of Sierra Madre. Just a quirky read that will make you want to keep trying no matter what happens.""",2013-09-09,positive
1,"""US""","""34058393""","""R13CBGTMNV9R8Z""","""B005FLODDE""","""764276359""","""The Woman Who Wasn't There: The True Story of an Incredible Deception""","""Digital_Ebook_Purchase""",1,1,2,0 	(N),1 	(Y),"""The Woman Who Wasn't There""","""This book was very interesting. It is a true story about a woman who perpetrated a lie about her survival of the attack on 9/11. It was so amazing to me that she could/would do such a thing. It had such a devastating effect on so many.""",2013-09-09,positive
2,"""US""","""39601147""","""R7DRFHC0F71O0""","""B00EA3L35O""","""535606445""","""Mary had A Sleepy Sheep""","""Digital_Ebook_Purchase""",1,0,0,0 	(N),0 	(N),"""This Sleepy Sheep rocks!""","""I had the opportunity to review Mary had a Sleepy Sheep by Julia Dweck with my kindergarten class and they thought it was hysterical! We have read this story multiple times and it's just as funny every time. It's about a little girl and her sheep who is so sleepy no matter what she tries to do to wake him up. And she tries some pretty crazy things! You'll have to purchase it and see for yourself how she finally keeps her poor sheep awake :)""",2013-09-09,positive
3,"""US""","""17351407""","""R27LUKEXU3KBXQ""","""B00BL3JV50""","""240053004""","""Starstruck""","""Digital_Ebook_Purchase""",1,1,1,0 	(N),1 	(Y),"""Steamy and suspenseful!!!!!""","""What a great read! I really couldn't put this book down! A suspenseful twist in this steamy love story will keep you reading!! Where can I find a Jesse?!?! Just loved his relationship with Sam. You've gotta read this story! It won't disappoint!""",2013-09-09,positive
4,"""US""","""10463387""","""R1VXTPUYMNU687""","""B00CXU7U80""","""931529805""","""The Complete Conan Saga""","""Digital_Ebook_Purchase""",1,1,2,0 	(N),0 	(N),"""Barbarians""","""Barbarians need love too ! Short stories work well with ebooks. The texts can be printed and read later. They can be read on a laptop. Bravo !""",2013-09-09,positive
5,"""US""","""50484904""","""R30DKW1GJWLPZC""","""B004EWGS5G""","""442453110""","""The Middle Passage (A Cat Royal Adventure)""","""Digital_Ebook_Purchase""",0,1,2,0 	(N),1 	(Y),"""Menu....""","""It was okay obviously, but if you hadn't read the other beginning ' books,' well it would be confusing. Plus, there's the fact that it did not tell me that it was a script for a play, though the plot is sort of good once you get kind of the idea of what happened.""",2013-09-09,negaitve
6,"""US""","""7145636""","""R18DPFG2FALJI9""","""B00BNRJAT6""","""856774152""","""Hide in Plain Sight (The Three Sisters Inn Book 1)""","""Digital_Ebook_Purchase""",1,0,0,0 	(N),1 	(Y),"""Awesome book""","""Very interesting and kept me reading. Read it in one day. Didn't get much of anything else done. Very good ..""",2013-09-09,positive
7,"""US""","""6285538""","""R24D677N5WBW5Q""","""B007FZOXJM""","""5589837""","""Face of Betrayal (A Triple Threat Novel)""","""Digital_Ebook_Purchase""",1,0,0,0 	(N),1 	(Y),"""Face of betrayal""","""Really enjoyed this book and the author! Ready to read the next one! Thanks for keeping me intrigued and unable to put my book down.""",2013-09-09,positive
8,"""US""","""10278048""","""R2FCJ9BQLSIOR3""","""B00B6AK7LU""","""362701357""","""Final Justice (A Romantic Suspense)""","""Digital_Ebook_Purchase""",1,0,0,0 	(N),1 	(Y),"""Very good""","""I really liked this book. I felt like I got to know the characters. It was a really good read.""",2013-09-09,positive
9,"""US""","""16568972""","""R1R6K4MAKDWTXI""","""B00EVMMLU0""","""342745087""","""Falling For My Husband (British Billionaires)""","""Digital_Ebook_Purchase""",1,0,0,0 	(N),1 	(Y),"""Ouch! My neck is sore!!!""","""Reading Callum and Stella's story was a bit like watching a tennis match. They bounced like a tennis ball back and forth from his side of the court to her side of the court. They were together then not together, together and then not, over and over again. Like a tennis match, it was entertaining at times, but was nerve racking and tiring to watch. Yet, I couldn't stop reading. Although it was painful to witness, I did like the dilemma Callum found himself in when the woman who had shattered his heart suddenly came back to him and wanted him back. He was caught between that proverbial rock and a hard place and was forced to make an impossibly tough choice. But, just like in a tennis match, in order for Callum to win in Love, he had to put himself out there, face his opponent head on with everything he had, and fight to win. I get why Stella's brother did what he did. He gave his \\""brother\\"" and sister the ultimate gift.....LOVE and family!""",2013-09-09,positive
10,"""US""","""26001763""","""R3R5DILCWM8J7B""","""B00E4W4984""","""186117550""","""Forgetting Tabitha""","""Digital_Ebook_Purchase""",1,0,0,0 	(N),1 	(Y),"""It was a wonderful book""","""I really enjoyed this book. It broke my heart to imagine what some of the children had to do to survive.<br />The book kept my interest throughout the entire book.<br />I recommended my sister and her daughter both to read this book.<br />I loved it.""",2013-09-09,positive
11,"""US""","""48203259""","""RR5K72IZOCOFE""","""B005A1JBB8""","""947574172""","""The Blacksmith's Son (Mageborn Book 1)""","""Digital_Ebook_Purchase""",1,0,0,0 	(N),0 	(N),"""Worth reading""","""Although not completely original, it has a decent plot and entertaining points. Some humor it's well, but at times is a bit cheesy. Still worth reading though.""",2013-09-09,positive
12,"""US""","""45028038""","""R3K9PJU5GLDY3O""","""B0044DELIQ""","""427899617""","""Vampire Vacation: Adult Urban Fantasy (The V V Inn Book 1)""","""Digital_Ebook_Purchase""",1,1,2,0 	(N),1 	(Y),"""Very Good Romp""","""Enjoyed the characters and the story line. Kept me entertained and ready for more. A nice fantasy of the undead.""",2013-09-09,positive
13,"""US""","""42554355""","""R1KTZMCDOJXAEK""","""B00DJQYATE""","""184945574""","""By the Tail (Cougar Falls Book 7)""","""Digital_Ebook_Purchase""",1,0,0,0 	(N),0 	(N),"""Love this Series""","""I love the Cougar Falls Series, each time a new one comes out I have new favorite. This was Quince and Joy's Story. Quince took over the Pride after it had been corrupted by Lex. Quince was strong, loyal, charming, determined. He was determined to mate with Joy, he knew they were mates. Joy just kept avoiding him. The chemistry between them was through the roof. I laughed out loud numerous times at his tactics in getting Joy's attention. Joy was strong-willed, funny, determined, and didn't take anything off anybody. Joy and Quince had to work out their issues while dealing with some of Lex' s followers that wanted to cause trouble. By the Tail was funny, heartwarming, hot and steamy with added action. This was a great book, just like the rest of the Courgar Falls Series. I highly recommend. I received an ARC copy of this book in exchange for a honest review. All opinions and thoughts are my own.My review can be found at [...]""",2013-09-09,positive
14,"""US""","""11251156""","""R3SBEH4Y3W9W11""","""B004XFYNNS""","""820449163""","""The Kingdom (A Fargo Adventure Book 3)""","""Digital_Ebook_Purchase""",1,0,0,0 	(N),1 	(Y),"""Love this author""","""I really enjoy Clive Cusslers work. The Fargos are a new team. I am going to read a lot more of his books.""",2013-09-09,positive
15,"""US""","""44677006""","""R3GB8WOHSWW2EG""","""B00A27Z6GO""","""969993834""","""6 Erotic Bedtime Stories (Adult, Sexual content)""","""Digital_Ebook_Purchase""",0,0,0,0 	(N),1 	(Y),"""Didn't finish...""","""I have to admit I didn't finish. The first story was just so-so and I stopped when continuity was lost in the second story when both her husband's and her co-worker's name changed and then back again. Its a super short story and the writer isn't skilled enough to make sure the names are constant? Is it Todd or Perry? Ron or Robert? At this point, I just didn't care enough to continue. I didn't know what to rate it, so gave it middle of the road.""",2013-09-09,negaitve
16,"""US""","""34645512""","""RDM68WMOEDNRJ""","""B008EGV4BQ""","""36906356""","""The Purpose Driven Life: What on Earth Am I Here For?""","""Digital_Ebook_Purchase""",1,0,0,0 	(N),1 	(Y),"""Can't unread it now!""","""Thanx paster Rick<br /><br />You served us all with the word and hart of God! Amazing read!<br /><br />Kind regard and love in Christ""",2013-09-09,positive
17,"""US""","""16137650""","""R3TW70YF2WZK9O""","""B00655U3WE""","""941986263""","""Insurgent (Divergent Trilogy, Book 2)""","""Digital_Ebook_Purchase""",1,0,0,0 	(N),1 	(Y),"""Great second installment""","""As with divergent the second book in the series is great. The characters are well written and you never know what tris will do next. I can't wait for the next book!""",2013-09-09,positive
18,"""US""","""4514126""","""R39ESX43X1SA5T""","""B006NG0GXQ""","""402593554""","""Forever His: A Time-Travel Romance (Stolen Brides Series Book 1)""","""Digital_Ebook_Purchase""",0,36,47,0 	(N),1 	(Y),"""Completely absurd""","""From the time that Celine travels back until the end she becomes a loathsome character. She is weak and written to be quite pathetic. How she can so quickly fall in love with a cruel man (and he is cruel and rude until about 3/4 of the way through) is beyond me. I was rooting for the villain to do away with them both. I read some of the dialogue between the two love interests to my husband and we laughed at its absurdity.<br /><br />The writing style was very good but the plot and characters were not endearing in any way. I would have rather had the female character just play along, quietly until she could return to her time instead of simpering and desperate. This, to me, was not a romance but a twisted Stockholm syndrome fiction.<br /><br />Spend your money elsewhere.""",2013-09-09,negaitve
19,"""US""","""44803855""","""R3MCA5W3BZ65OU""","""B008J4RPWA""","""804503161""","""Summerset Abbey: A Bloom in Winter""","""Digital_Ebook_Purchase""",1,0,0,0 	(N),1 	(Y),"""#2, just as good as #1!!""","""I love the interaction of the 3 &#34;sisters&#34;. How they change, how their world changes and how they deal with everyday life. Absolutely EXCELLENT!! Looking forward to #3!!""",2013-09-09,positive
20,"""US""","""4791095""","""R2BM9GR2RQNE7X""","""B00EK5ICLA""","""251478244""","""Searching for Dave Chappelle (Kindle Single)""","""Digital_Ebook_Purchase""",0,0,1,0 	(N),0 	(N),"""I love Dave""","""Dave is honest. He makes us laugh at what divides us. I want him to come back and succeed. He is brilliant! Comedy Central huh?""",2013-09-09,negaitve
21,"""US""","""52969190""","""R2HN3QJ6MHCYV4""","""B004J4WL2I""","""906836320""","""Night Film: A Novel""","""Digital_Ebook_Purchase""",1,2,2,0 	(N),1 	(Y),"""Great Read""","""This book is a great read! The characters linger long after their story ends, and an adroit reader recognizes that it is a reflection on storytelling, our relationship with reality, and the need to be fully awake while we live our daily lives.<br /><br />It is clear that Pessl had fun writing this book.""",2013-09-09,positive
22,"""US""","""52249503""","""R2AH8DMKWGN3HE""","""B00DBBA1BS""","""508519479""","""Five Lessons from the Carmelite Saints That Will Change Your Life""","""Digital_Ebook_Purchase""",1,8,8,0 	(N),1 	(Y),"""Short but very much to the point.""","""This is a short book but could be a constant reminder of things to do to enhance one's spirituality. I keep on reading and re-reading it to be able to absorb its contents. Should be practiced again and again.""",2013-09-09,positive
23,"""US""","""50353978""","""RLBTSSYVHR6HI""","""B00B1E3MJ0""","""459530636""","""Somebody, Help! I’m Stuck!: 101 Ways to Find Success and Achieve Anything You Want in Life!""","""Digital_Ebook_Purchase""",1,0,1,0 	(N),1 	(Y),"""This Book is Amazing!""","""I have read self help books written by many of the top authors. This book is absolutely amazing! Rodney explains how to change how you think and live a better life. I gave it a quick read through and immediately knew what has been holding me back for some time. This author has heart and soul. I am so happy that I found this book.""",2013-09-09,positive
24,"""US""","""6462334""","""R1ULCNSA7QGR51""","""B00EHZ4B86""","""368221826""","""The Day My Parents Got Lost""","""Digital_Ebook_Purchase""",1,1,1,0 	(N),0 	(N),"""Great story""","""My son loves the story and understood why I always keeps him close by my side...would recommend to anyone with a child""",2013-09-09,positive
