,market_place,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,Sentiment_grcry
0,"""US""","""42521656""","""R26MV8D0KG6QI6""","""B000SAQCWC""","""159713740""","""The Cravings Place Chocolate Chunk Cookie Mix, 23-Ounce Bags (Pack of 6)""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Using these for years - love them.""","""As a family allergic to wheat, dairy, eggs, nuts, and several other things, we love the entire Cravings Place line of products as it allows us to bake treats with minimal effort and ingredients. Most allergy-free and gluten-free mixes usually just omit one or two allergens at most, so it's great to see a mix created without many of the most common allergens. (Note these still have soy and corn). We consume these on a regular basis and have been doing so for years.""",2015-08-31,positive
1,"""US""","""12049833""","""R1OF8GP57AQ1A0""","""B00509LVIQ""","""138680402""","""Mauna Loa Macadamias, 11 Ounce Packages""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Wonderful""","""My favorite nut. Creamy, crunchy, salty, and slightly sweet - what more could you ask for?""",2015-08-31,positive
2,"""US""","""107642""","""R3VDC1QB6MC4ZZ""","""B00KHXESLC""","""252021703""","""Organic Matcha Green Tea Powder - 100% Pure Matcha (No Sugar Added - Unsweetened Pure Green Tea - No Coloring Added Like Others) 4oz""","""Grocery""",1,0,0,0 	(N),0 	(N),"""Five Stars""","""This green tea tastes so good! My girlfriend loves it too.""",2015-08-31,positive
3,"""US""","""6042304""","""R12FA3DCF8F9ER""","""B000F8JIIC""","""752728342""","""15oz Raspberry Lyons Designer Dessert Syrup Sauce""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""I love Melissa's brand but this is a great second when I can't get Melissa's brand.""",2015-08-31,positive
4,"""US""","""18123821""","""RTWHVNV6X4CNJ""","""B004ZWR9RQ""","""552138758""","""Stride Spark Kinetic Fruit Sugar Free Gum, 14-Count (Pack of 12)""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""good""",2015-08-31,positive
5,"""US""","""23649464""","""RIG9AWFOGRDVO""","""B00AL6QBZ6""","""681475449""","""Herr's Popcorn Hot Cheese 1 Oz (Pack of 30)""","""Grocery""",0,1,1,0 	(N),1 	(Y),"""Not Happy""","""The popcorn was stale.""",2015-08-31,negaitve
6,"""US""","""32778285""","""R1S1XSG4ZCHDGS""","""B00BCNSTRA""","""578681693""","""Larabar uber, 1.42 Ounce (Pack of 15)""","""Grocery""",1,1,1,0 	(N),1 	(Y),"""Five Stars""","""Love these bars, but have to watch out for the fat and sugar grams""",2015-08-31,positive
7,"""US""","""46612941""","""RB15NBVY5ELVW""","""B0089MM2BG""","""350968436""","""Shirakiku Soba Noodles, 7.16 Ounce""","""Grocery""",1,2,2,0 	(N),1 	(Y),"""Five Stars""","""Love the taste but the price was too high and it doesn't come in a 6 or 12 pack.""",2015-08-31,positive
8,"""US""","""31525399""","""R56358YM1ZJ7I""","""B00Y1C9770""","""729982780""","""Jif Chocolate Nut Butter Almond Granola Bars, 5 Count Pack""","""Grocery""",1,0,0,0 	(N),0 	(N),"""Great tasting!""","""I'm a member of the crowdtap jif program and jif sent me a sample of its jif bars to try and review and my family and I loved them!great peanut butter taste and so easy to take with you whenever you need a great snack!""",2015-08-31,positive
9,"""US""","""19624355""","""R1ODXB3C9UP3NL""","""B00J074W94""","""2499702""","""Orgain Organic Plant Based Protein Powder, Packaging May Vary""","""Grocery""",0,1,3,0 	(N),0 	(N),"""Disgusting now and difficult on digestion""","""Used to be a decent product. Disgusting now and difficult on digestion. All 3 purchased from Costco over past couple months end in same result -- open the container and it smells like rancid oil. Something not right about how they are making/processing this powder now. Will not buy again.""",2015-08-31,negaitve
10,"""US""","""31910375""","""R155ZMVLD5C9BP""","""B0001VKKOO""","""189938205""","""Bragg - All Natural Liquid Aminos All Purpose Seasoning Spray""","""Grocery""",1,3,4,0 	(N),1 	(Y),"""If you like soy sauce, you'll really like this -""","""I cannot tell the difference in taste between soy sauce and these Bragg Liquid Aminos. I'm glad I bought the small spray bottle of it so that I can have better control of how much I use as it is powerful stuff! Since I'm watching my sodium intake I like to make my own stir-fry dishes and can still enjoy that &#34;soy sauce&#34; flavor enhancer without overdoing it. It's pretty good also on a home cooked burger and beef steak - slather melted butter on top of the cooked meat before serving, give it a quick spray of aminos, a few grinds of black pepper....... and enjoy!""",2015-08-31,positive
11,"""US""","""12816533""","""R2IXW43PUNYM0G""","""B007TGH4CK""","""398128262""","""Wholesome Sweeteners Organic Coconut Palm Sugar""","""Grocery""",1,1,1,0 	(N),1 	(Y),"""Four Stars""","""Good flavor and seems concentrate enough to add a little more sweet that the other one I have.""",2015-08-31,positive
12,"""US""","""23208852""","""R3LYEG1QCK2BG0""","""B002HMN6SC""","""18057786""","""Kadoya Pure Sesame Oil, 11 Fluid Ounce""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""Great to use in recipes.""",2015-08-31,positive
13,"""US""","""17348415""","""R20LREICPM3YH0""","""B004NRHAZO""","""595020880""","""Nishiki Premium Brown Rice, 15-Pounds Bag""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""It's rice. Have enough to last for months.""",2015-08-31,positive
14,"""US""","""46763945""","""RHA5COCZDVB13""","""B00V7LJIG8""","""173088090""","""Everly Passion Fruit Green Tea - All Natural Powdered Drink Mix - (36-ct) - Sugar Free, Zero Calorie, Healthy Water Enhancer""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""Very good tasting and a great way to get away from the sugar.""",2015-08-31,positive
15,"""US""","""961747""","""RT9BGRQANMANE""","""B0000E2YFI""","""120269621""","""Charms Blue Razzberry Blow Pops Lollipops Quantity: 48""","""Grocery""",1,0,0,0 	(N),1 	(Y),"""Excellent""","""They were perfect and came right on time""",2015-08-31,positive
16,"""US""","""16888081""","""ROD1TU5JCS7JQ""","""B00VK5SQOQ""","""204992966""","""Food Should Taste Good, Real Good Bar, Gluten Free, Macadamia Chai, 15 Count""","""Grocery""",1,0,0,0 	(N),0 	(N),"""YUMMY!""","""Wow, these are sooooooo good and I am not a sweet tooth. So full of nuts and very addicting!""",2015-08-31,positive
