,market_place,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,Sentiment_jwlry
0,"""US""","""50423057""","""R135Q3VZ4DQN5N""","""B00JWXFDMG""","""657335467""","""Everbling Purple and Clear Briolette Drop Swarovski Elements Crystal Earrings""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Beauties!""","""so beautiful even tho clearly not high end ... But super great for price and as costume jewelry, though others will have to look twice since they appear very near real ... Very nice""",2015-08-31,positive
1,"""US""","""11262325""","""R2N0QQ6R4T7YRY""","""B00W5T1H9W""","""26030170""","""925 Sterling Silver Finish 6ct Simulated Diamond Stud Set""","""Jewelry""",1,0,0,0 	(N),0 	(N),"""Great product.""","""Great product.. I got this set for my mother, as she is allergic to bijoux (probably to the nickel in some products, I don't know for sure, I just know that her ears get swallowed, red and itchy unless is silver or gold).<br />And I'm glad that this is sterling silver and still at a affordable price. She never got an allergic reaction, and now she wears them every day.""",2015-08-31,positive
2,"""US""","""27541121""","""R3N5JE5Y4T6W5M""","""B00M2L6KFY""","""697845240""","""Sterling Silver Circle ""Friends Forever"" Infinity Symbol Pendant Necklace, 18""""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Exactly as pictured and my daughter's friend loved it! It came packaged in a nice box ...""","""Exactly as pictured and my daughter's friend loved it! It came packaged in a nice box and I thought it looked more expensive than it was. Very happy with this purchase.""",2015-08-31,positive
3,"""US""","""5350721""","""R2I150CX5IVY9Q""","""B0006SW2WU""","""569859289""","""Surgical Stainless Steel Domed 9mm Fishbone Ring Wedding Band Comfort-Fit, sizes 7 - 14""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""Love it. Fits great. Super comfortable and neat idea with the fish bones that can also come out!!!""",2015-08-31,positive
4,"""US""","""24484424""","""R1RM9ICOOA9MQ3""","""B009YPDW70""","""332947422""","""Sterling Silver Family Pendant Necklace, 18""""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""... a Mother's Day gift for my Mom and she loved it! Really nice quality and an interesting design""","""Got this as a Mother's Day gift for my Mom and she loved it! Really nice quality and an interesting design.""",2015-08-31,positive
5,"""US""","""457767""","""R2J2KMDL10UMSH""","""B00QGA8XZM""","""424804582""","""CHOOSE YOUR COLOR Sterling Silver Heart Promise Ring""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""I Love It Make Me Won't To Get Another""",2015-08-31,positive
6,"""US""","""31009358""","""R3R9ZUFA4TB4FQ""","""B00L0N0E8E""","""589441783""","""Metal Factory 925 Sterting Silver Plumeria Cubic Zirconia CZ with Maile Leaf Hawaiian Flower Band Ring""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""True to size, unique""",2015-08-31,positive
7,"""US""","""7034628""","""R3UQ8VAQN7R6WL""","""B00DMWQKWA""","""517428445""","""niceEshop(TM)Classic Vintage Champagne Cross Pendant With Chain""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""This necklace is BEAUTIFUL......is a great accent to my wardrobe.""",2015-08-31,positive
8,"""US""","""34608636""","""R1FXZ69C01JNQM""","""B00THLHAGA""","""320313750""","""Genuine Natural Baltic Amber Adjustable Stretch Ring for Women""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""just perfect""",2015-08-31,positive
9,"""US""","""44972687""","""RY36LB4OW0FFS""","""B00UXSEOHY""","""589365488""","""MBOX Expandable Antique Gold Tone,Antique Sliver Tone & Antique Bronze Letters Wire Bangle Bracelet""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""Love it !""",2015-08-31,positive
10,"""US""","""16684508""","""R6PKS54PC6ZY2""","""B00XGRYGVS""","""217045013""","""Set of 3 Nose Rings: 22g Sterling Silver CZ Nose Studs - Clear, Pink & Light Purple""","""Jewelry""",0,4,4,0 	(N),1 	(Y),"""I had high hopes for these, but it was an Epic Fail.""","""They didn't even last through the first day. One of them, the stone was already out when I got it. The other two - they both fell out that day! I'm sad, because I really was looking forward to these.""",2015-08-31,negaitve
