,market_place,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,Sentiment_pc
0,"""US""","""22873041""","""R3ARRMDEGED8RD""","""B00KJWQIIC""","""335625766""","""Plemo 14-Inch Laptop Sleeve Case Waterproof Fabric Bag for MacBook Air / Laptops / Notebook, Gray""","""PC""",1,0,0,0 	(N),1 	(Y),"""Pleasantly surprised""","""I was very surprised at the high quality of the stitching, the sturdiness of the handles and the padding for my laptop. The price is amazingly low and the look is very good. I am quite happy with this purchase. It fit my MacBook Pro perfectly, with a little bit of room to spare.""",2015-08-31,positive
1,"""US""","""30088427""","""RQ28TSA020Y6J""","""B013ALA9LA""","""671157305""","""TP-Link OnHub AC1900 Wireless Wi-Fi Router""","""PC""",1,24,31,0 	(N),0 	(N),"""OnHub is a pretty no nonsense type router that just works""","""I am a Google employee and had to chance to use the device for a few months now. This is my own opinion of the device.<br /><br />Overall OnHub is a pretty no nonsense type router that just works. Its super simple to setup with your phone, is fast and auto updates. I have not looked back ever since I set it up. The beauty in this router is that it gets better over time. You know what I mean if you have a ChromeBook. It auto updates and you never have to deal with firmware and security updates or adjusting settings on the device to get the optimal performance for your WiFi network. It just figures it out on its own.<br /><br />Why I love it:<br />1) Auto Updates. Probably the one of the main selling points. I have witnessed this first hand. It uses the power of the cloud to update. No security updates to apply, no firmware patches to apply, no need to plug in your laptop to set it up or flash, etc. It does it automatically through the internet.<br /><br />2) It's fast. I probably have 6-7 devices connected through WiFi and they all perform pretty well. I didn’t notice any performance differences when streaming Netflix or YouTube using the Ethernet connection or Wireless network.<br /><br />3) The Android app makes it dead simple to share your WiFi password, perform speed tests on your internet connection, see how much bandwidth devices on your network are using, and updated your typical settings you see in a WiFi router. The added bonus is you can even do it from anywhere you have a internet connection. No need to be on your home network. The default settings worked straight out of the box beautifully. (There is an iOS app, which has similar features)<br /><br />4) There are 2.4GHz and 5GHz antennas which should cover all your devices. The interesting bit for me, was that you only need one SSID for both frequencies. There is no concept of network-name and network-name-5g if you have a used a router in the past that broadcasted both frequencies. It will automatically figure out which is the better frequency for you and use that.<br /><br />5) No administrator password to remember or gateway ip to remember to update settings. You control everything through your phone, including adding additional managers to administer the device. Although, I haven’t actually had the need to use this, it might come in handy to help a friend or family member if they had some questions.<br /><br />6) It looks nice enough that I don’t need to hide it in my TV stand and can leave it out in the open.<br /><br />Why you may not like it:<br />1) The OnHub only has 1 Ethernet port, where as my old router had 4. While I thought I would miss this early on, I actually found that connecting all my devices via WiFi just seemed so much simpler and cleaner. If you need more ports for wired internet access, you will need a switch.<br /><br />2) There is no web interface to administrate the device, but I didn’t really miss it. Well, okay I will admit I did at first, since I was so use to it from my old access point. After the initial setup though, you don’t really need to touch any settings. As I mentioned before, you control everything through your phone, if you need to change anything or check the status.<br /><br />Future Wish List:<br />There is a pretty nice looking speaker on top that I heard during setup. It would be cool if this could be used in some other ways, other than just for setup. Maybe a future update?use that. 5) No administrator password to remember or gateway ip to remember to update settings. You control everything through your phone, including adding additional managers to administer the device. Although, I haven’t actually had the need to use this, it might come in handy to help a friend or family member if they had some questions. 6) It looks nice enough that I don’t need to hide it in my TV stand and can leave it out in the open. Why you may not like it: 1) The OnHub only has 1 Ethernet port, where as my old router had 4. While I thought I would miss this early on, I actually found that connecting all my devices via WiFi just seemed so much simpler and cleaner. If you need more ports for wired internet access, you will need a switch. 2) There is no web interface to administrate the device, but I didn’t really miss it. Well, okay I will admit I did at first, since I was so use to it from my old access point. After the initial setup though, you don’t really need to touch any settings. As I mentioned before, you control everything through your phone, if you need to change anything or check the status. Future Wish List: There is a pretty nice looking speaker on top that I heard during setup. It would be cool if this could be used in some other ways, other than just for setup. Maybe a future update?""",2015-08-31,positive
2,"""US""","""20329786""","""RUXJRZCT6953M""","""B00PML2GQ8""","""982036237""","""AmazonBasics USB 3.0 A Male to A Male Cable - 3.3 Feet 1 Meter""","""PC""",0,2,2,0 	(N),0 	(N),"""None of them worked. No functionality at all.""","""Bought cables in 3ft, 6ft and 9ft. NONE of them worked. NO FUNCTIONALITY WHATSOEVER. Tested many times, its as if the copper wires are just not connected to the terminations. Do these even go through Quality Control before they leave the factory? Waste of money and time.""",2015-08-31,negaitve
3,"""US""","""14215710""","""R7EO0UO6BPB71""","""B001NS0OZ4""","""576587596""","""Transcend P8 15-in-1 USB 2.0 Flash Memory Card Reader TS-RDP8K""","""PC""",0,0,0,0 	(N),1 	(Y),"""just keep searching.""","""nope, cheap and slow""",2015-08-31,negaitve
4,"""US""","""38264512""","""R39NJY2YJ1JFSV""","""B00AQMTND2""","""964759214""","""Aleratec SATA Data Cable 2.0 20in Serial ATA Straight Connector 6-Pack Combo""","""PC""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""Excellent! Great value and does the job.""",2015-08-31,positive
5,"""US""","""30548466""","""R31SR7REWNX7CF""","""B00KX4TORI""","""170101802""","""Kingston Digital MobileLite G4 USB 3.0 Multi-Function Card Reader (FCR-MLG4)""","""PC""",1,0,0,0 	(N),1 	(Y),"""Good quality, works well and compact""","""Good quality,works well and compact size""",2015-08-31,positive
6,"""US""","""589298""","""RVBP8I1R0CTZ8""","""B00P17WEMY""","""206124740""","""White 9 Inch Unlocked Dual Sim Card Phone Tablet 9 Inch 1024*600 3g Phone Call Tablet Pc Android 4.2 512mb/4gb Mtk6572 Dual Coredual Cameras Wifi Bluetooth GPS""","""PC""",0,1,2,0 	(N),1 	(Y),"""in fact this is third China good. Demn s***""","""This demn tablet is just a Real Chinese product. The demn camera does not knows it's function. in fact this is third China good. Demn s***""",2015-08-31,negaitve
7,"""US""","""49329488""","""R1QF6RS1PDLU18""","""B00TR05L9Y""","""778403103""","""Lenovo TAB2 A10 - 10.1"" 2-in-1 Tablet (1.5Ghz, 2 GB SDRAM, 16 GB SSD, Android 4.4 KitKat) ZA000001US""","""PC""",1,1,1,0 	(N),1 	(Y),"""Good""","""I am not sure I don't know if it is the tablet or lollipop. Sometimes I can't get a good connection. Otherwise I do like it. It does almost everything I want. els well made. I have one of there computers and I thought this was a good buy and was thinking that there computer was good.""",2015-08-31,positive
8,"""US""","""50728290""","""R23AICGEDAJQL1""","""B0098Y77OG""","""177098042""","""Acer""","""PC""",0,0,0,0 	(N),1 	(Y),"""You get what you pay for""","""After exactly 45 days, the screen went dark. Power LED is lit & blue, my computer is able to detect the monitor but nothing on screen. Not even OSD. Tried different computers, different DVI/VGA cables, no dice.<br /><br />Had to reach out to the support, which advised me to send it in for repair to their Temple, Texas repair center. Have to pay one-way shipping and they may take 7-10 business days to do the repair (that's after they receive it). There is no other recourse but to be without a monitor for good 15-20 days (taking into account shipping time both ways).<br /><br />Should've just spent some extra money and bought a decent monitor to begin with.""",2015-08-31,negaitve
9,"""US""","""37802374""","""R2EY3N4K9W19UP""","""B00IFYEYXC""","""602496520""","""AzureWave Broadcom BCM94352HMB 802.11/ac/867Mbps WLAN + BT4.0 Half Mini PCI-E""","""PC""",1,3,4,0 	(N),1 	(Y),"""Great for Windows 7 Laptop!""","""Replaced my Intel Centrino 2230 with the BCM94352HMB and it wasn't plug and play. A quick hardwired connection and searching for drivers brings up few options as Broadcom doesn't directly support drivers for these Wifi cards. You need to download from a major brand like Asus to acquire the driver I would google BCM94352HMB driver and go to the Wikidevi site and download the Wi-Fi Driver V6.32.223.1 for Windows 7 32bit & 64bit. Its an Asus driver and it works alot better than the Dell driver which I got connections drops with. With the Asus Driver no drops and a perfectly stable connection.<br /><br />Its a hell of an upgrade over the 2230 which is a piece of junk with problematic drivers. Intel makes good CPU's but terrible Wifi cards in the past few years.""",2015-08-31,positive
